"correlativ";"w";"nombarrio";"ccz";"municipio";"e26";"e27";"e30";"ht11";"ht13";"ht19";"pobre";"VivAdec";"desocupado";"Auto";"Internet"
"2019_1_2019047110";31;"Union";6;"E";2;39;1;54392;0;"2";0;2;0;0;1
"2019_1_2019047114";21;"Aires Puros";15;"C";1;82;1;67952;15000;"1";0;1;0;0;0
"2019_1_2019047115";33;"Punta Carretas";5;"CH";1;36;1;80000;0;"3";0;1;0;1;1
"2019_1_2019047118";29;"Las Canteras";6;"E";1;63;1;38576;16000;"2";0;1;0;0;1
"2019_1_2019047120";28;"Paso de las Duranas";13;"G";2;28;1;66189;18000;"1";0;1;0;0;0
"2019_1_2019047121";39;"Pta. Rieles, Bella Italia";9;"F";1;57;1;23000;3000;"5";1;3;0;0;0
"2019_1_2019047128";39;"Tres Cruces";2;"B";1;327;1;NA;25000;"---";0;1;0;1;1
"2019_1_2019047134";41;"Pe¦arol, Lavalleja";13;"G";1;43;1;64440;0;"5";0;1;0;1;1
"2019_1_2019047135";38;"La Figurita";3;"C";2;58;1;122442;14000;"2";0;1;0;1;1
"2019_1_2019047137";37;"Cerro";17;"A";2;55;1;77102;8000;"3";0;3;0;0;1
"2019_1_2019047144";31;"Union";6;"E";1;90;1;115542;25000;"3";0;1;0;1;1
"2019_1_2019047145";21;"Pque. Batlle, V. Dolores";5;"CH";1;81;1;52193;19000;"1";0;1;0;0;0
"2019_1_2019047146";28;"Carrasco";8;"E";2;34;1;342022,666666667;90000;"4";0;1;0;1;1
"2019_1_2019047147";38;"Cerrito";11;"D";2;45;1;48568;0;"2";0;1;0;0;1
"2019_1_2019047150";25;"Union";6;"E";1;62;1;23718;6000;"1";0;1;0;0;1
"2019_1_2019047152";33;"Pe¦arol, Lavalleja";13;"G";2;65;1;54197;10000;"2";0;1;0;1;1
"2019_1_2019047153";21;"Buceo";4;"CH";1;34;1;683644,666666667;22000;"4";0;1;0;1;1
"2019_1_2019047154";42;"Cerro";17;"A";2;46;1;78813;19000;"3";0;1;0;1;1
"2019_1_2019047156";29;"Colon Sureste, Abayuba";12;"G";2;44;1;47328;18000;"2";0;2;0;0;1
"2019_1_2019047167";20;"Malvin";7;"E";2;84;1;73271;35000;"1";0;1;0;0;1
"2019_1_2019047176";36;"Las Canteras";8;"E";2;64;1;26369,5;8000;"3";1;1;0;0;0
"2019_1_2019047182";41;"Buceo";6;"E";2;41;1;37617,5;0;"5";1;1;1;0;0
"2019_1_2019047187";16;"Punta Carretas";5;"CH";2;59;1;57271;16000;"1";0;1;0;0;1
"2019_1_2019047195";21;"Union";6;"E";1;68;1;93868;17000;"1";0;1;0;0;1
"2019_1_2019047196";26;"Cordon";2;"B";2;51;1;148361;15000;"2";0;1;0;1;1
"2019_1_2019047197";27;"Pocitos";5;"CH";2;74;1;123440;30000;"2";0;1;0;0;1
"2019_1_2019047198";41;"Las Acacias";11;"D";2;47;1;48576;14000;"3";0;1;0;0;1
"2019_1_2019047200";23;"Aires Puros";15;"C";2;80;1;40214;18000;"1";0;1;0;0;1
"2019_1_2019047203";49;"Pta. Rieles, Bella Italia";9;"F";2;27;1;42362,5;5000;"4";1;3;0;0;0
"2019_1_2019047205";31;"Tres Cruces";4;"CH";2;78;1;143378;24000;"2";0;1;0;0;1
"2019_1_2019047208";40;"Malvin";7;"E";2;44;1;100813;0;"3";0;1;0;0;1
"2019_1_2019047210";33;"Pocitos";5;"CH";1;52;1;151213;24000;"3";0;1;0;1;1
"2019_1_2019047214";36;"Las Canteras";8;"E";2;56;1;300376;13000;"4";0;1;0;1;1
"2019_1_2019047237";27;"Pocitos";5;"CH";2;70;1;240992,666666667;45000;"2";0;1;0;1;1
"2019_1_2019047238";28;"Centro";1;"B";1;67;1;204576;20000;"2";0;1;0;1;1
"2019_1_2019047241";39;"Carrasco Norte";8;"E";2;50;1;177920,333333333;25000;"3";0;1;0;1;1
"2019_1_2019047244";35;"Maro¦as, Parque Guarani";9;"F";2;76;1;107084;15000;"5";0;1;0;0;1
"2019_1_2019047245";31;"Manga";10;"D";1;59;1;69524;15000;"2";0;1;0;0;0
"2019_1_2019047253";41;"Cerrito";11;"D";2;34;1;84756;15000;"4";0;1;0;1;1
"2019_1_2019047256";36;"Villa Mu¦oz, Retiro";2;"B";2;33;1;147524;0;"2";0;1;0;1;1
